disease,symptom,disease_umls,symptom_umls,weight
Gangliosidoses,"Hydrops Fetalis, Non-Immune",C0017083,C0455988,1
Gangliosidoses,"Myoclonus, Intention",C0017083,C0021712,1
Gangliosidoses,Psychomotor Impairment,C0017083,C5441816,1
"Gangliosidoses, GM2","Ataxia, Appendicular",C0268274,C0750937,1
"Gangliosidoses, GM2",Diarrhea,C0268274,C0011991,1
"Gangliosidoses, GM2","Dysarthria, Spastic",C0268274,C0454596,1
"Gangliosidoses, GM2",Dysesthesia,C0268274,C0392699,1
"Gangliosidoses, GM2",Flaccid Muscle Tone,C0268274,C0026825,1
"Gangliosidoses, GM2","Gait, Festinating",C0268274,C0231694,1
"Gangliosidoses, GM2",Myokymia,C0268274,C0684219,1
"Gangliosidoses, GM2",Pill Rolling Tremor,C0268274,C0751564,1
Gangliosidosis GM1,"Ataxia, Appendicular",C0085131,C0750937,1
Gangliosidosis GM1,Cerebellar Ataxia,C0085131,C0007758,1
Gangliosidosis GM1,Distorted hearing,C0085131,C0877848,1
Gangliosidosis GM1,"Dysarthria, Spastic",C0085131,C0454596,1
Gangliosidosis GM1,Dysglossia,C0085131,C0751512,1
Gangliosidosis GM1,Dystonia,C0085131,C0013421,1
Gangliosidosis GM1,Fever,C0085131,C0015967,1
Gangliosidosis GM1,Flaccid Muscle Tone,C0085131,C0026825,1
Gangliosidosis GM1,"Hydrops Fetalis, Non-Immune",C0085131,C0455988,1
Gangliosidosis GM1,Pill Rolling Tremor,C0085131,C0751564,1
Gangrene,"Abdomen, Acute",C0017086,C0000727,1
Gangrene,Ciliary Body Spasm,C0017086,C0235229,1
Gangrene,Cyanosis,C0017086,C0010520,1
Gangrene,Edema,C0017086,C0013604,1
Gangrene,Infantile Diarrhea,C0017086,C0011992,1
Gangrene,Intermittent Claudication,C0017086,C0021775,1
Gangrene,"Pain, Splitting",C0017086,C0458257,1
Gangrene,Purpura,C0017086,C0034150,1
Gangrene,Purpura Fulminans,C0017086,C0085650,1
Gangrene,"Waterhouse-Friderichsen Syndrome, Meningococcal",C0017086,C1403891,1
Gardner Syndrome,Abdominal Pain,C0017097,C0000737,1
Gardner Syndrome,Lockjaw,C0017097,C0343495,1
Gardner Syndrome,Visual Impairment,C0017097,C3665347,1
Gas Gangrene,"Abdomen, Acute",C0017105,C0000727,1
Gas Gangrene,Abdominal Pain,C0017105,C0000737,1
Gas Gangrene,Edema,C0017105,C0013604,1
Gas Gangrene,Fever of Unknown Origin,C0017105,C0015970,1
Gas Gangrene,Hematemesis,C0017105,C0018926,1
Gas Gangrene,"Jaundice, Hemolytic",C0017105,C0242183,1
Gas Gangrene,"Pain, Postoperative",C0017105,C0030201,1
Gas Gangrene,"Pain, Splitting",C0017105,C0458257,1
Gas Gangrene,"Paraplegia, Cerebral",C0017105,C0278114,1
Gas Gangrene,Urinary Stress Incontinence,C0017105,C0042025,1
Gas Poisoning,Coughing,C0017107,C0010200,1
Gas Poisoning,Fever,C0017107,C0015967,1
Gas Poisoning,Gegenhalten,C0017107,C0231519,1
Gas Poisoning,Hemoglobinuria,C0017107,C0019048,1
Gas Poisoning,Hyperventilation,C0017107,C0020578,1
Gas Poisoning,"Myoclonus, Intention",C0017107,C0021712,1
Gas Poisoning,Orthopnea,C0017107,C0085619,1
Gas Poisoning,Respiratory Paralysis,C0017107,C0035232,1
Gas Poisoning,Tetanilla,C0017107,C0917812,1
Gas Poisoning,Unconscious State,C0017107,C0041657,1
Gastric Antral Vascular Ectasia,Edema,C0267211,C0013604,1
Gastric Antral Vascular Ectasia,Hematochezia,C0267211,C0018932,1
Gastric Dilatation,"Abdomen, Acute",C0038353,C0000727,1
Gastric Dilatation,Abdominal Pain,C0038353,C0000737,1
Gastric Dilatation,Aerophagy,C0038353,C0001707,1
Gastric Dilatation,Bulimia,C0038353,C0006370,1
Gastric Dilatation,Dyspepsia,C0038353,C0013395,1
Gastric Dilatation,Eructation,C0038353,C0014724,1
Gastric Dilatation,Gastroparesis,C0038353,C0152020,1
Gastric Dilatation,Hyperphagia,C0038353,C0020505,1
Gastric Dilatation,Nausea,C0038353,C0027497,1
Gastric Dilatation,Vomiting,C0038353,C0042963,1
Gastric Fistula,Abdominal Pain,C0017128,C0000737,1
Gastric Fistula,Cachexia,C0017128,C0006625,1
Gastric Fistula,Chest Pain,C0017128,C0008031,1
Gastric Fistula,Diarrhea,C0017128,C0011991,1
Gastric Fistula,Eructation,C0017128,C0014724,1
Gastric Fistula,Halitosis,C0017128,C0018520,1
Gastric Fistula,Hematemesis,C0017128,C0018926,1
Gastric Fistula,Morbid obesity,C0017128,C0028756,1
Gastric Fistula,Vomiting,C0017128,C0042963,1
Gastric Fistula,Weight Loss,C0017128,C1262477,1
Gastric Varix,Abdominal Pain,C0017145,C0000737,1
Gastric Varix,Chest Pain,C0017145,C0008031,1
Gastric Varix,Coughing,C0017145,C0010200,1
Gastric Varix,Dyspepsia,C0017145,C0013395,1
Gastric Varix,Gagging,C0017145,C0016927,1
Gastric Varix,Heartburn,C0017145,C0018834,1
Gastric Varix,Hematemesis,C0017145,C0018926,1
Gastric Varix,Hemoptysis,C0017145,C0019079,1
Gastric Varix,"Jaundice, Hemolytic",C0017145,C0242183,1
Gastric Varix,Respiratory Aspiration,C0017145,C1720922,1
Gastric outlet obstruction,"Abdomen, Acute",C0162651,C0000727,1
Gastric outlet obstruction,Abdominal Pain,C0162651,C0000737,1
Gastric outlet obstruction,Birth Weight,C0162651,C0005612,1
Gastric outlet obstruction,Ciliary Body Spasm,C0162651,C0235229,1
Gastric outlet obstruction,Gastroparesis,C0162651,C0152020,1
Gastric outlet obstruction,Hematemesis,C0162651,C0018926,1
Gastric outlet obstruction,"Jaundice, Hemolytic",C0162651,C0242183,1
Gastric outlet obstruction,Morbid obesity,C0162651,C0028756,1
Gastric outlet obstruction,Tetanilla,C0162651,C0917812,1
Gastric outlet obstruction,Vomiting,C0162651,C0042963,1
Gastric ulcer,"Abdomen, Acute",C0038358,C0000727,1
Gastric ulcer,Abdominal Pain,C0038358,C0000737,1
Gastric ulcer,Body Weight,C0038358,C0005910,1
Gastric ulcer,Dyspepsia,C0038358,C0013395,1
Gastric ulcer,Edema,C0038358,C0013604,1
Gastric ulcer,Hematemesis,C0038358,C0018926,1
Gastric ulcer,"Hypothermia, Accidental",C0038358,C0274285,1
Gastric ulcer,Morbid obesity,C0038358,C0028756,1
Gastric ulcer,"Pain, Splitting",C0038358,C0458257,1
Gastric ulcer,Psychophysiologic Disorders,C0038358,C0033931,1
Gastrinoma,"Abdomen, Acute",C0017150,C0000727,1
Gastrinoma,Abdominal Pain,C0017150,C0000737,1
Gastrinoma,Diarrhea,C0017150,C0011991,1
Gastrinoma,Hematemesis,C0017150,C0018926,1
Gastrinoma,Nausea,C0017150,C0027497,1
Gastrinoma,Vomiting,C0017150,C0042963,1
Gastritis,"Abdomen, Acute",C0017152,C0000727,1
Gastritis,Abdominal Pain,C0017152,C0000737,3
Gastritis,Anorexia,C0017152,C0003123,1
Gastritis,Body Weight decreased,C0017152,C0043096,1
Gastritis,Diarrhea,C0017152,C0011991,1
Gastritis,Dysequilibrium,C0017152,C0281825,1
Gastritis,Dyspepsia,C0017152,C0013395,1
Gastritis,Edema,C0017152,C0013604,1
Gastritis,Heartburn,C0017152,C0018834,2
Gastritis,Hematemesis,C0017152,C0018926,1
Gastritis,Hemorrhage,C0017152,C0019080,1
Gastritis,Intoxication,C0017152,C0728899,1
Gastritis,Nausea,C0017152,C0027497,3
Gastritis,Pain,C0017152,C0030193,1
Gastritis,Psychophysiologic Disorders,C0017152,C0033931,1
Gastritis,Vomiting,C0017152,C0042963,3
Gastritis,guaiac positive,C0017152,C0744492,1
Gastritis,heme positive,C0017152,C0744740,1
"Gastritis, Atrophic",Abdominal Pain,C0017154,C0000737,1
"Gastritis, Atrophic",Age-Related Memory Disorders,C0017154,C0751292,1
"Gastritis, Atrophic",Diarrhea,C0017154,C0011991,1
"Gastritis, Atrophic",Dyspepsia,C0017154,C0013395,1
"Gastritis, Atrophic",Fever of Unknown Origin,C0017154,C0015970,1
"Gastritis, Atrophic",Gastroparesis,C0017154,C0152020,1
"Gastritis, Atrophic",Heartburn,C0017154,C0018834,1
"Gastritis, Atrophic",Hypercapnia,C0017154,C0020440,1
"Gastritis, Atrophic",Hypergammaglobulinemia,C0017154,C0020455,1
"Gastritis, Atrophic",Psychophysiologic Disorders,C0017154,C0033931,1
"Gastritis, Hypertrophic",Cachexia,C0017155,C0006625,1
"Gastritis, Hypertrophic",Diarrhea,C0017155,C0011991,1
"Gastritis, Hypertrophic",Dyspepsia,C0017155,C0013395,1
"Gastritis, Hypertrophic",Edema,C0017155,C0013604,1
"Gastritis, Hypertrophic",Hypergammaglobulinemia,C0017155,C0020455,1
"Gastritis, Hypertrophic",Immune thrombocytopenic purpura,C0017155,C0398650,1
"Gastritis, Hypertrophic",Pleural Rub,C0017155,C0032230,1
"Gastritis, Hypertrophic",Vomiting,C0017155,C0042963,1
"Gastritis, Hypertrophic",Weight Gain,C0017155,C0043094,1
"Gastritis, Hypertrophic",Weight Loss,C0017155,C1262477,1
Gastroenteritis,"Abdomen, Acute",C0017160,C0000727,1
Gastroenteritis,Abdominal Pain,C0017160,C0000737,2
Gastroenteritis,Body Weight decreased,C0017160,C0043096,1
Gastroenteritis,Breath-holding spell,C0017160,C0476287,1
Gastroenteritis,Colonic Inertia,C0017160,C1257861,1
Gastroenteritis,Diarrhea,C0017160,C0011991,2
Gastroenteritis,Dyspepsia,C0017160,C0013395,1
Gastroenteritis,Fever,C0017160,C0015967,3
Gastroenteritis,Hyponatremia,C0017160,C0020625,1
Gastroenteritis,Infantile Diarrhea,C0017160,C0011992,1
Gastroenteritis,Myalgia,C0017160,C0231528,1
Gastroenteritis,Nausea,C0017160,C0027497,2
Gastroenteritis,Nonepileptic Seizures,C0017160,C3495874,1
Gastroenteritis,Retching,C0017160,C0232602,1
Gastroenteritis,Scleral icterus,C0017160,C0240962,1
Gastroenteritis,Sore to touch,C0017160,C0234233,1
Gastroenteritis,Vomiting,C0017160,C0042963,2
"Gastroenteritis, Transmissible, of Swine",Body Weight,C0017162,C0005910,1
"Gastroenteritis, Transmissible, of Swine",Diarrhea,C0017162,C0011991,1
"Gastroenteritis, Transmissible, of Swine",Infantile Diarrhea,C0017162,C0011992,1
"Gastroenteritis, Transmissible, of Swine",Weight Gain,C0017162,C0043094,1
Gastroesophageal reflux disease,Apnea,C0017168,C0003578,1
Gastroesophageal reflux disease,Burning sensation,C0017168,C0085624,1
Gastroesophageal reflux disease,Chest Pain,C0017168,C0008031,3
Gastroesophageal reflux disease,Chest tightness,C0017168,C0232292,1
Gastroesophageal reflux disease,Coughing,C0017168,C0010200,1
Gastroesophageal reflux disease,Dyspepsia,C0017168,C0013395,1
Gastroesophageal reflux disease,Early satiety,C0017168,C0239233,1
Gastroesophageal reflux disease,Eructation,C0017168,C0014724,1
Gastroesophageal reflux disease,Halitosis,C0017168,C0018520,1
Gastroesophageal reflux disease,Heartburn,C0017168,C0018834,2
Gastroesophageal reflux disease,Hyponatremia,C0017168,C0020625,1
Gastroesophageal reflux disease,Nausea,C0017168,C0027497,1
Gastroesophageal reflux disease,Neurogenic Hoarseness,C0017168,C0751201,1
Gastroesophageal reflux disease,Obesity,C0017168,C0028754,1
Gastroesophageal reflux disease,Pain,C0017168,C0030193,1
Gastroesophageal reflux disease,Presence of Q wave,C0017168,C1305739,1
Gastroesophageal reflux disease,Respiratory Aspiration,C0017168,C1720922,1
Gastroesophageal reflux disease,Sensory Discomfort,C0017168,C0234215,1
Gastroesophageal reflux disease,Throbbing sensation quality,C0017168,C1444773,1
Gastroesophageal reflux disease,Vomiting,C0017168,C0042963,1
Gastrointestinal Stromal Sarcoma,"Abdomen, Acute",C3179349,C0000727,1
Gastrointestinal Stromal Sarcoma,Abdominal Pain,C3179349,C0000737,1
Gastrointestinal Stromal Sarcoma,Dysuria,C3179349,C0013428,1
Gastrointestinal Stromal Sarcoma,Hematemesis,C3179349,C0018926,1
Gastrointestinal Stromal Sarcoma,"Jaundice, Obstructive",C3179349,C0022354,1
Gastrointestinal Stromal Sarcoma,Lassitude,C3179349,C0086525,1
Gastrointestinal Stromal Sarcoma,Morbid obesity,C3179349,C0028756,1
Gastrointestinal Stromal Sarcoma,Pelvic Pain,C3179349,C0030794,1
Gastrointestinal Stromal Sarcoma,Vomiting,C3179349,C0042963,1
Gastrointestinal Stromal Sarcoma,Weight Loss,C3179349,C1262477,1
Gastroparesis,Abdominal Pain,C0152020,C0000737,2
Gastroparesis,Aerophagy,C0152020,C0001707,1
Gastroparesis,Colonic Inertia,C0152020,C1257861,1
Gastroparesis,Dyspepsia,C0152020,C0013395,1
Gastroparesis,Morbid obesity,C0152020,C0028756,1
Gastroparesis,Nausea,C0152020,C0027497,2
Gastroparesis,Obesity,C0152020,C0028754,1
Gastroparesis,Postoperative Nausea,C0152020,C0520904,1
Gastroparesis,Vomiting,C0152020,C0042963,2
Gastroparesis,Weight Gain,C0152020,C0043094,1
Gastroschisis,Birth Weight,C0265706,C0005612,1
Gastroschisis,Body Weight,C0265706,C0005910,1
Gastroschisis,Fetal Distress,C0265706,C0015930,1
Gastroschisis,Fetal Weight,C0265706,C0751992,1
Gastroschisis,Fever,C0265706,C0015967,1
Gastroschisis,"Jaundice, Obstructive",C0265706,C0022354,1
Gastroschisis,Obesity,C0265706,C0028754,1
Gastroschisis,Respiratory Aspiration,C0265706,C1720922,1
Gaucher Disease,"Apraxia, Articulatory",C0017205,C3495144,1
Gaucher Disease,Arthralgia,C0017205,C0003862,1
Gaucher Disease,Bradykinesia,C0017205,C0233565,1
Gaucher Disease,"Hydrops Fetalis, Non-Immune",C0017205,C0455988,1
Gaucher Disease,Hypergammaglobulinemia,C0017205,C0020455,1
Gaucher Disease,Internal Ophthalmoplegia,C0017205,C0339693,1
Gaucher Disease,"Myoclonus, Intention",C0017205,C0021712,1
Gaucher Disease,Olfaction Disorders,C0017205,C0553757,1
Gaucher Disease,"Pain, Splitting",C0017205,C0458257,1
Gaucher Disease,Thrombocytopenic purpura,C0017205,C0857305,1
Gegenhalten,Bradykinesia,C0231519,C0233565,1
Gegenhalten,Ciliary Body Spasm,C0231519,C0235229,1
Gegenhalten,Decorticate State,C0231519,C0751070,1
Gegenhalten,Dystonia,C0231519,C0013421,1
Gegenhalten,Muscle Spasticity,C0231519,C0026838,1
Gegenhalten,"Myoclonus, Intention",C0231519,C0021712,1
Gegenhalten,Pill Rolling Tremor,C0231519,C0751564,1
Gegenhalten,Progressive supranuclear palsy,C0231519,C0038868,1
Gegenhalten,"Reflex, Pendular",C0231519,C0277850,1
Gegenhalten,Waxy flexibility,C0231519,C0233612,1
Generalized Cortical Dysplasia,Alexia,C5691433,C0002018,1
Generalized Cortical Dysplasia,"Amnesia, Anterograde",C5691433,C0233795,1
Generalized Cortical Dysplasia,Auditory Inattention,C5691433,C0750942,1
Generalized Cortical Dysplasia,"Auditory Processing Disorder, Central",C5691433,C0751257,1
Generalized Cortical Dysplasia,Dysglossia,C5691433,C0751512,1
Generalized Cortical Dysplasia,Fetal Anoxia,C5691433,C0015924,1
Generalized Cortical Dysplasia,"Hemiplegia, Infantile",C5691433,C0392550,1
Generalized Cortical Dysplasia,Nonepileptic Seizures,C5691433,C3495874,1
Generalized Cortical Dysplasia,Pseudobulbar Palsy,C5691433,C0033790,1
Generalized Cortical Dysplasia,Psychomotor Impairment,C5691433,C5441816,1
Generalized Nonconvulsive Seizure Disorder,Age-Related Memory Disorders,C0017332,C0751292,1
Generalized Nonconvulsive Seizure Disorder,"Ataxia, Appendicular",C0017332,C0750937,1
Generalized Nonconvulsive Seizure Disorder,Benign Hereditary Chorea,C0017332,C0393584,1
Generalized Nonconvulsive Seizure Disorder,"Hemiplegia, Infantile",C0017332,C0392550,1
Generalized Nonconvulsive Seizure Disorder,Hyperventilation,C0017332,C0020578,1
Generalized Nonconvulsive Seizure Disorder,"Myoclonus, Intention",C0017332,C0021712,1
Generalized Nonconvulsive Seizure Disorder,Nonepileptic Seizures,C0017332,C3495874,1
Generalized Nonconvulsive Seizure Disorder,Presyncope,C0017332,C0700200,1
Generalized Nonconvulsive Seizure Disorder,REM Sleep Deprivation,C0017332,C0751506,1
Generalized Nonconvulsive Seizure Disorder,"Stuttering, Adult",C0017332,C0751527,1
Generalized glycogen storage disease of infants,Flaccid Muscle Tone,C0342751,C0026825,1
Generalized glycogen storage disease of infants,"Gait, Festinating",C0342751,C0231694,1
Generalized glycogen storage disease of infants,"Hearing Loss, Mixed Conductive-Sensorineural",C0342751,C0155552,1
Generalized glycogen storage disease of infants,Hypoventilation,C0342751,C3203358,1
Generalized glycogen storage disease of infants,Lassitude,C0342751,C0086525,1
Generalized glycogen storage disease of infants,Mobility Limitation,C0342751,C1565249,1
Generalized glycogen storage disease of infants,Muscle Weakness,C0342751,C0151786,1
Generalized glycogen storage disease of infants,Muscular Atrophy,C0342751,C0026846,1
Generalized glycogen storage disease of infants,Orthopnea,C0342751,C0085619,1
Generalized glycogen storage disease of infants,Respiratory Paralysis,C0342751,C0035232,1
"Genetic Diseases, Inborn",Alexia,C0950123,C0002018,1
"Genetic Diseases, Inborn","Ataxia, Appendicular",C0950123,C0750937,1
"Genetic Diseases, Inborn",Birth Weight,C0950123,C0005612,1
"Genetic Diseases, Inborn",Blindness both eyes NOS (disorder),C0950123,C1879328,1
"Genetic Diseases, Inborn",Cerebellar Ataxia,C0950123,C0007758,1
"Genetic Diseases, Inborn",Diarrhea,C0950123,C0011991,1
"Genetic Diseases, Inborn","Hearing Loss, Extreme",C0950123,C0086395,1
"Genetic Diseases, Inborn",Obesity,C0950123,C0028754,1
"Genetic Diseases, Inborn",Oral Manifestations,C0950123,C0029166,1
"Genetic Diseases, Inborn",Sensorineural Hearing Loss (disorder),C0950123,C0018784,1
"Genetic Diseases, X-Linked",Benign Hereditary Chorea,C1138434,C0393584,1
"Genetic Diseases, X-Linked","Color Blindness, Red",C1138434,C0155015,1
"Genetic Diseases, X-Linked",Dystonia,C1138434,C0013421,1
"Genetic Diseases, X-Linked","Hearing Loss, Extreme",C1138434,C0086395,1
"Genetic Diseases, X-Linked",Hypercalciuria,C1138434,C0020438,1
"Genetic Diseases, X-Linked",Hypergammaglobulinemia,C1138434,C0020455,1
"Genetic Diseases, X-Linked",Muscle Weakness,C1138434,C0151786,1
"Genetic Diseases, X-Linked",Muscular Atrophy,C1138434,C0026846,1
"Genetic Diseases, X-Linked",Proteinuria,C1138434,C0033687,1
"Genetic Diseases, X-Linked",Sensorineural Hearing Loss (disorder),C1138434,C0018784,1
"Genetic Diseases, Y-Linked","Hearing Loss, Extreme",C1563751,C0086395,1
"Genetic Diseases, Y-Linked",hearing impairment,C1563751,C1384666,1
Genetic Predisposition to Disease,Age-Related Memory Disorders,C0314657,C0751292,1
Genetic Predisposition to Disease,Alexia,C0314657,C0002018,1
Genetic Predisposition to Disease,"Auditory Processing Disorder, Central",C0314657,C0751257,1
Genetic Predisposition to Disease,Cerebellar Ataxia,C0314657,C0007758,1
Genetic Predisposition to Disease,Dystonia,C0314657,C0013421,1
Genetic Predisposition to Disease,Muscle Weakness,C0314657,C0151786,1
Genetic Predisposition to Disease,Obesity,C0314657,C0028754,1
Genetic Predisposition to Disease,Primary Progressive Aphasia (disorder),C0314657,C0282513,1
Genetic Predisposition to Disease,Sensorineural Hearing Loss (disorder),C0314657,C0018784,1
Genetic Predisposition to Disease,Usher Syndrome,C0314657,C0271097,1
"Genital Diseases, Male",Abdominal Pain,C0017412,C0000737,1
"Genital Diseases, Male",Colonic Inertia,C0017412,C1257861,1
"Genital Diseases, Male",Edema,C0017412,C0013604,1
"Genital Diseases, Male",Neurogenic Urinary Bladder,C0017412,C0005697,1
"Genital Diseases, Male","Pain, Splitting",C0017412,C0458257,1
"Genital Diseases, Male","Paraplegia, Cerebral",C0017412,C0278114,1
"Genital Diseases, Male",Pelvic Pain,C0017412,C0030794,1
"Genital Diseases, Male",Pruritus,C0017412,C0033774,1
"Genital Diseases, Male",Psychophysiologic Disorders,C0017412,C0033931,1
"Genital Diseases, Male",Urinary Incontinence,C0017412,C0042024,1
Genital Herpes,Dysesthesia,C0019342,C0392699,1
Genital Herpes,Dysuria,C0019342,C0013428,1
Genital Herpes,Hemicrania,C0019342,C0877781,1
Genital Herpes,Intermittent Claudication,C0019342,C0021775,1
Genital Herpes,Neuralgia,C0019342,C0027796,1
Genital Herpes,Neurogenic Urinary Bladder,C0019342,C0005697,1
Genital Herpes,"Pain, Splitting",C0019342,C0458257,1
Genital Herpes,Pruritus,C0019342,C0033774,1
Genital Herpes,Psychophysiologic Disorders,C0019342,C0033931,1
Genital Herpes,REM Sleep Deprivation,C0019342,C0751506,1
Genital Infantilism,Cachexia,C1563718,C0006625,1
"Genital Neoplasms, Female","Abdomen, Acute",C0017416,C0000727,1
"Genital Neoplasms, Female",Androgenization,C0017416,C1452968,1
"Genital Neoplasms, Female",Dysmenorrhea,C0017416,C0013390,1
"Genital Neoplasms, Female","Hearing Loss, High-Frequency",C0017416,C0018780,1
"Genital Neoplasms, Female",Lassitude,C0017416,C0086525,1
"Genital Neoplasms, Female",Nausea,C0017416,C0027497,1
"Genital Neoplasms, Female","Pain, Intractable",C0017416,C0030200,1
"Genital Neoplasms, Female","Pain, Splitting",C0017416,C0458257,1
"Genital Neoplasms, Female",Psychophysiologic Disorders,C0017416,C0033931,1
"Genital Neoplasms, Female",Vomiting,C0017416,C0042963,1
"Genital Neoplasms, Male",Androgenization,C0017417,C1452968,1
"Genital Neoplasms, Male",Anorexia,C0017417,C0003123,1
"Genital Neoplasms, Male",Fever,C0017417,C0015967,1
"Genital Neoplasms, Male",Fever of Unknown Origin,C0017417,C0015970,1
"Genital Neoplasms, Male",Lassitude,C0017417,C0086525,1
"Genital Neoplasms, Male",Nausea,C0017417,C0027497,1
"Genital Neoplasms, Male","Pain, Splitting",C0017417,C0458257,1
"Genital Neoplasms, Male",Urinary Incontinence,C0017417,C0042024,1
"Genital Neoplasms, Male",Vertebrogenic Pain Syndrome,C0017417,C0750949,1
"Genital Neoplasms, Male",Vomiting,C0017417,C0042963,1
Genitourinary Cancer,Androgenization,C0751569,C1452968,1
Genitourinary Cancer,Anorexia,C0751569,C0003123,1
Genitourinary Cancer,Fever of Unknown Origin,C0751569,C0015970,1
Genitourinary Cancer,Hirsutism,C0751569,C0019572,1
Genitourinary Cancer,Nausea,C0751569,C0027497,1
Genitourinary Cancer,Oliguria,C0751569,C0028961,1
Genitourinary Cancer,"Pain, Splitting",C0751569,C0458257,1
Genitourinary Cancer,Right Flank Pain,C0751569,C0423640,1
Genitourinary Cancer,Urinary Incontinence,C0751569,C0042024,1
Genitourinary Cancer,Vomiting,C0751569,C0042963,1
Genomic Instability,"Hearing Loss, Extreme",C0919532,C0086395,1
Genomic Instability,Premature aging syndrome,C0919532,C0231341,1
Geographic Atrophy,"Scotoma, Paracecal",C1536085,C0544679,1
Geophagia,"Abdomen, Acute",C0232480,C0000727,1
Geophagia,Anorexia,C0232480,C0003123,1
Geophagia,Bulimia,C0232480,C0006370,1
Geophagia,Coprophagia,C0232480,C0009983,1
Geophagia,Diarrhea,C0232480,C0011991,1
Geophagia,Morbid obesity,C0232480,C0028756,1
Geophagia,Motion Sickness,C0232480,C0026603,1
Geophagia,Nausea,C0232480,C0027497,1
Geophagia,Taste Dysfunction,C0232480,C5392959,1
Geophagia,Vomiting,C0232480,C0042963,1
Germinoma,Agnosia,C0206660,C0001816,1
Germinoma,"Diplopia, Refractive",C0206660,C0271186,1
Germinoma,"Hearing Loss, High-Frequency",C0206660,C0018780,1
Germinoma,Hemicrania,C0206660,C0877781,1
Germinoma,"Hemiplegia, Infantile",C0206660,C0392550,1
Germinoma,Muscle Weakness,C0206660,C0151786,1
Germinoma,Nocturia,C0206660,C0028734,1
Germinoma,Paresis,C0206660,C0030552,1
Germinoma,Polyuria,C0206660,C0032617,1
Germinoma,Vomiting,C0206660,C0042963,1
Gerstmann Syndrome,Acquired Spelling Dyslexia,C0017494,C0751091,1
Gerstmann Syndrome,Agnosia,C0017494,C0001816,1
Gerstmann Syndrome,Agraphia,C0017494,C0001825,1
Gerstmann Syndrome,Alexia,C0017494,C0002018,1
Gerstmann Syndrome,"Aphasia, Posterior",C0017494,C0454575,1
Gerstmann Syndrome,"Aphasia, Semantic",C0017494,C0234482,1
Gerstmann Syndrome,"Apraxia, Articulatory",C0017494,C3495144,1
Gerstmann Syndrome,"Apraxia, Ideomotor",C0017494,C0234523,1
Gerstmann Syndrome,Color Anomia,C0017494,C0750915,1
Gerstmann Syndrome,"Hemianopsia, Homonymous",C0017494,C0271202,1
Gerstmann-Straussler-Scheinker Disease,Allodynia,C0017495,C0458247,1
Gerstmann-Straussler-Scheinker Disease,"Ataxia, Appendicular",C0017495,C0750937,1
Gerstmann-Straussler-Scheinker Disease,Cerebellar Ataxia,C0017495,C0007758,1
Gerstmann-Straussler-Scheinker Disease,"Dysarthria, Spastic",C0017495,C0454596,1
Gerstmann-Straussler-Scheinker Disease,"Gait, Festinating",C0017495,C0231694,1
Gerstmann-Straussler-Scheinker Disease,Muscular Atrophy,C0017495,C0026846,1
Gerstmann-Straussler-Scheinker Disease,"Paraparesis, Spastic",C0017495,C0037771,1
Gerstmann-Straussler-Scheinker Disease,Progressive supranuclear palsy,C0017495,C0038868,1
Gerstmann-Straussler-Scheinker Disease,"Reflex, Pendular",C0017495,C0277850,1
Gerstmann-Straussler-Scheinker Disease,"Voice Disorder, Neurologic",C0017495,C0264600,1
Gestational Diabetes,Albuminuria,C0085207,C0001925,1
Gestational Diabetes,Birth Weight,C0085207,C0005612,1
Gestational Diabetes,Body Weight,C0085207,C0005910,1
Gestational Diabetes,Fetal Anoxia,C0085207,C0015924,1
Gestational Diabetes,Fetal Distress,C0085207,C0015930,1
Gestational Diabetes,Fetal Macrosomia,C0085207,C0015938,1
Gestational Diabetes,Fetal Weight,C0085207,C0751992,1
Gestational Diabetes,Obesity,C0085207,C0028754,1
Gestational Diabetes,Overweight,C0085207,C0497406,1
Gestational Diabetes,Weight Gain,C0085207,C0043094,1
Giant Cell Glioblastoma,Acute Cerebrovascular Accidents,C0334588,C0751956,1
Giant Cell Glioblastoma,Age-Related Memory Disorders,C0334588,C0751292,1
Giant Cell Glioblastoma,Agraphia,C0334588,C0001825,1
Giant Cell Glioblastoma,"Aphasia, Semantic",C0334588,C0234482,1
Giant Cell Glioblastoma,"Hallucinations, Kinesthetic",C0334588,C0544668,1
Giant Cell Glioblastoma,"Hemianopsia, Homonymous",C0334588,C0271202,1
Giant Cell Glioblastoma,Hemicrania,C0334588,C0877781,2
Giant Cell Glioblastoma,"Hemiplegia, Infantile",C0334588,C0392550,1
Giant Cell Glioblastoma,Nausea,C0334588,C0027497,2
Giant Cell Glioblastoma,Nonepileptic Seizures,C0334588,C3495874,1
Giant Cell Glioblastoma,Vomiting,C0334588,C0042963,1
Giant Cell Granuloma,Central Nervous System Origin Vertigo,C0018194,C0155503,1
Giant Cell Granuloma,Cerebrospinal Fluid Rhinorrhea,C0018194,C0007815,1
Giant Cell Granuloma,Conductive hearing loss,C0018194,C0018777,1
Giant Cell Granuloma,Lightheadedness,C0018194,C0220870,1
Giant Cell Granuloma,Lockjaw,C0018194,C0343495,1
Giant Cell Granuloma,Olfaction Disorders,C0018194,C0553757,1
Giant Cell Granuloma,Oral Hemorrhage,C0018194,C0029163,1
Giant Cell Granuloma,"Paraplegia, Cerebral",C0018194,C0278114,1
Giant Cell Granuloma,Sensorineural Hearing Loss (disorder),C0018194,C0018784,1
