umls_code,term
C0600467,Neurogenic Inflammation
C0541957,"Fasciculation, Skeletal Muscle"
C0026826,Muscle Hypertonia
C0700153,Myotonus (finding)
C0343495,Lockjaw
C0751648,Recurrent Low Back Pain
C0751135,Neuralgic Facial Pain
C0036396,Sciatica
C0392550,"Hemiplegia, Infantile"
C0278114,"Paraplegia, Cerebral"
C0270790,Quadriparesis
C0030552,Paresis
C0278118,"Paraparesis, Cerebral"
C0036659,Sensation Disorders
C0458247,Allodynia
C0085636,Photophobia
C0544679,"Scotoma, Paracecal"
C0005697,Neurogenic Urinary Bladder
C0270896,Lower Brachial Plexus Neuropathy
C0751925,Sciatic Nerve Palsy
C0027743,Nerve compression syndrome
C0027813,Neuritis
C0002768,Congenital Pain Insensitivity
C0032586,Polyradiculopathy
C0034544,Radiculitis
C0154659,Toxic Encephalitis
C0001940,Alcohol Amnestic Disorder
C0751506,REM Sleep Deprivation
C0007384,Cataplexy
C0751772,REM Sleep Behavior Disorder
C0037672,Somnambulism
C0751504,Linear Skull Fracture
C0009763,Conjunctivitis
C0022573,Keratoconjunctivitis
C0030804,"Pemphigoid, Benign Mucous Membrane"
C0043349,Xerophthalmia
C0010034,Corneal Diseases
C0010037,Corneal edema
C0022578,Keratoconus
C0026010,Microphthalmos
C0035317,Retinal Hemorrhage
C0015423,Eyelid Diseases
C0022904,Lacrimal Apparatus Diseases
C0017601,Glaucoma
C0029182,orbit (eye disorders)
C0015300,Exophthalmos
C0149507,Orbital Cellulitis
C0026961,Mydriasis
C0027092,Myopia
C0024437,Macular degeneration
C0152026,Retinal Vasculitis
C0154874,Neuroretinitis
C0008513,Chorioretinitis
C0035319,"Retinal Necrosis Syndrome, Acute"
C0036412,Scleral Diseases
C0027547,Necrotizing Scleritis
C0008521,Choroid Diseases
C0008526,Choroiditis
C0022073,Iridocyclitis
C0042164,Uveitis
C0030343,Panuveitis
C0042165,Anterior uveitis
C0042167,"Uveitis, Posterior"
C0017412,"Genital Diseases, Male"
C0014534,Epididymitis
C0030846,Penile Diseases
C0033575,Prostatic Diseases
C0242350,Erectile dysfunction
C0037856,Spermatic Cord Torsion
C0039584,Testicular Diseases
C0431664,Unilateral Cryptorchidism
C0029191,Orchitis
C0019269,Hermaphroditism
C0302280,Adrenogenital Syndrome
C0018051,Gonadal Dysgenesis
C1527168,Bonnevie-Ullrich Syndrome
C0543754,"Klinefelter Syndrome, Variants"
C0042075,Urologic Diseases
C0003460,Anuria
C1563706,"Nephrogenic Diabetes Insipidus, Type II"
C4759705,Intracapillary glomerulosclerosis due to diabetes mellitus
C0020295,Hydronephrosis
C0018036,"Hypertension, Goldblatt"
C0022656,Kidney Cortex Necrosis
C0022679,Cystic kidney
C0085413,"Polycystic Kidney, Autosomal Dominant"
C0022667,Kidney Papillary Necrosis
C0027697,Nephritis
C0017661,IGA Glomerulonephritis
C0017662,"Glomerulonephritis, Membranoproliferative"
C1704378,Heymann Nephritis
C0086432,"Hyalinosis, Segmental Glomerular"
C0024143,Lupus Nephritis
C0034186,Pyelonephritis
C0034188,"Pyelonephritis, Xanthogranulomatous"
C0034183,Pyelitis
C0022650,Kidney Calculi
C0027721,Lipoid nephrosis
C0027726,Nephrotic Syndrome
C0031065,Perinephritis
C0035066,Renal Artery Obstruction
C0035078,Kidney Failure
C0022672,Acute Kidney Tubular Necrosis
C0001126,Renal tubular acidosis
C0221043,Liddle Syndrome
C0002534,Renal Aminoacidurias
C0010691,Cystinuria
C0019061,Hemolytic-Uremic Syndrome
C0041956,Ureteral obstruction
C0041960,Ureterocele
C1456865,Ureteral Calculi
C0041969,Urethral Diseases
C0041972,Urethral Obstruction
C0005694,Bladder neck obstruction
C0041976,Urethritis
C0005686,Urinary Bladder Diseases
C0010692,Cystitis
C5232302,Secondary Vesicoureteral Reflux
C0042035,Urination Disorders
C0018965,Hematuria
C0028961,Oliguria
C0032617,Polyuria
C0001925,Albuminuria
C0019048,Hemoglobinuria
C0042024,Urinary Incontinence
C0080274,Urinary Retention
C0451641,Urolithiasis
C0042018,Urinary Calculi
C0017411,Female Genital Diseases
C0001576,Adnexal Diseases
C0015556,Fallopian Tube Diseases
C0036130,Salpingitis
C0029928,Ovarian Diseases
C0029051,Oophoritis
C0085083,Ovarian Hyperstimulation Syndrome
C0014179,Endometritis
C0014175,Endometriosis
C0341869,"Subfertility, Female"
C0042131,Uterine Diseases
C0034215,Pyometra
C0007867,Cervix Diseases
C0042143,Uterine Rupture
C0042139,Uterine Perforation
C0042251,Vaginal Diseases
C0227791,Vaginal Discharge
C0042267,Vaginitis
C0042994,Vulvar Diseases
C0033778,Pruritus Vulvae
C0000822,"Abortion, Tubal"
C0000814,Missed abortion
C0000823,"Abortion, Veterinary"
C0752350,Embryo Death
C0085207,Gestational Diabetes
C2718076,Fetal Mummification
C0015951,Fetal Resorption
C0002631,Infection of amniotic cavity
C0014761,"Erythroblastosis, Fetal"
C0015934,Fetal Growth Retardation
C0013537,Eclampsia
C0032914,Pre-Eclampsia
C0022865,Obstetric Labor Complications
C1566302,Preterm Premature Rupture of Fetal Membranes
C0022876,Premature Obstetric Labor
C0032044,Placenta Accreta
C0032046,Placenta Previa
C0242669,"Placenta, Retained"
C0013927,"Embolism, Amniotic Fluid"
C0032969,Pregnancy in Diabetics
C0032987,Ectopic Pregnancy
C0032984,"Pregnancy, Abdominal"
C0033054,Prenatal Exposure Delayed Effects
C0024894,Mastitis
C0243050,Cardiovascular Abnormalities
C0003492,Aortic coarctation
C0009995,Cor Triatriatum
C0010074,Coronary Vessel Anomalies
C0013743,Eisenmenger Complex
C0018818,Ventricular Septal Defects
C0039685,Tetralogy of Fallot
C0158570,Vascular anomaly
C0003857,Congenital arteriovenous malformation
C1956223,Arteriovenous Aneurysm
C0080304,Vascular Fistula
C1721096,Brugada ECG Pattern
C0151636,Premature ventricular contractions
C0004331,Auriculo-Ventricular Dissociation
C0151878,Prolonged QT interval
C0043202,Wolff-Parkinson-White Syndrome
C0242513,Paroxysmal Reciprocal Tachycardia
C0039239,Sinus Tachycardia
C0030590,Paroxysmal supraventricular tachycardia
C0040479,Torsades de Pointes
C0042510,Ventricular Fibrillation
C0152173,Ventricular Flutter
C0007166,Low Cardiac Output
C0007177,Cardiac Tamponade
C1449563,"Cardiomyopathy, Familial Idiopathic"
C0149721,Left Ventricular Hypertrophy
C0007194,Hypertrophic Cardiomyopathy
C0027055,Myocardial Reperfusion Injury
C0027059,Myocarditis
C1541923,Infective endocarditis
C0085298,Sudden Cardiac Death
C0018814,"Heart Rupture, Post-Infarction"
C1956158,Ventricular Septal Perforation
C0018824,Heart valve disease
C0003504,Aortic Valve Insufficiency
C0003507,Aortic Valve Stenosis
C0026266,Mitral Valve Insufficiency
C0026269,Mitral Valve Stenosis
C0034088,Pulmonary Valve Insufficiency
C0948089,Acute Coronary Syndrome
C0242231,Coronary Stenosis
C0010072,Coronary Thrombosis
C0262564,Anterolateral Myocardial Infarction
C0036980,"Shock, Cardiogenic"
C0031039,Pericardial effusion
C1167732,Pleuropericarditis
C0031876,Pick Disease of Heart
C0032760,Postcommissurotomy Syndrome
C0034072,Cor pulmonale
C0242973,Ventricular Dysfunction
C1739395,Takotsubo Cardiomyopathy
C0002940,Aneurysm
C0340643,Dissection of aorta
C1510412,Pseudoaneurysm
C0162869,"Aneurysm, Ruptured"
C0741160,"Aortic Aneurysm, Ruptured"
C0003486,Aortic Aneurysm
C0162871,"Aortic Aneurysm, Abdominal"
C0162872,"Aortic Aneurysm, Thoracic"
C0162870,Iliac Aneurysm
C0002992,Angiomatosis
C0002994,Angioedema
C0003493,Aortic Diseases
C0003510,Aortitis Syndrome
C0003509,Aortitis
C0264995,Occlusion of artery (disorder)
C0003850,Arteriosclerosis
C0003851,Arteriosclerosis Obliterans
C1704436,Peripheral Arterial Diseases
C0021775,Intermittent Claudication
C0040021,Thromboangiitis Obliterans
C0003860,Arteritis
C0014100,Endarteritis
C0086254,Essential Polyarteritis
C0343084,Capillary Leak Syndrome
C0025945,"Microangiopathy, Diabetic"
C1456868,Diabetic foot ulcer
C0013922,Embolism
C0013926,Air Embolism
C0013928,Fat embolism (disorder)
C0149649,Cholesterol Embolism
C0040038,Thromboembolism
C0087086,Thrombus
C0042487,Venous Thrombosis
C0031556,Phlegmasia Alba Dolens
C1867450,"Pseudoxanthoma Elasticum, Incomplete"
C0037018,Shwartzman Phenomenon
C0020540,Malignant Hypertension
C0085096,Peripheral Vascular Diseases
C0014804,Erythromelalgia
C0031542,Phlebitis
C0034734,Raynaud Disease
C0035126,Reperfusion Injury
C0037998,Splenic Infarction
C0042344,Varicose Ulcer
C0264939,Systemic Vasculitis
C0008728,Eosinophilic granulomatosis with polyangiitis
C0151436,"Vasculitis, Leukocytoclastic, Cutaneous"
C0015625,Fanconi Anemia
C0002881,"Anemia, Hemolytic, Congenital"
C1306589,"Congenital dyserythropoietic anemia, type II"
C0002895,"Anemia, Sickle Cell"
C0019034,Hemoglobin SC Disease
C0037054,Sickle Cell Trait
C0013902,"Elliptocytosis, Hereditary"
C2939465,Deficiency of glucose-6-phosphate dehydrogenase
C0019021,Hemoglobin C Disease
C0037889,Hereditary spherocytosis
C0039730,Thalassemia
C0002312,alpha-Thalassemia
C0024790,Paroxysmal nocturnal hemoglobinuria
C0162316,Iron deficiency anemia
C0002886,"Anemia, Macrocytic"
C0002892,"Anemia, Pernicious"
C0002893,Refractory anemias
C0002894,Refractory anaemia with excess blasts
C0002896,Sideroblastic anemia
C0005779,Blood Coagulation Disorders
C2584774,Congenital hypofibrinogenemia
C1848525,"von Willebrand Disease, Recessive Form"
C0012739,Disseminated Intravascular Coagulation
C0013491,Ecchymosis
C0085650,Purpura Fulminans
C0857305,Thrombocytopenic purpura
C0398650,Immune thrombocytopenic purpura
C1956258,Familial Thrombotic Thrombocytopenic Purpura
C3489628,"Thrombocytosis, Autosomal Dominant"
C0005806,Blood Group Incompatibility
C0035404,Rh Isoimmunization
C0040034,Thrombocytopenia
C0836924,Thrombocytosis
C0005830,Blood Protein Disorders
C0001768,Agammaglobulinemia
C0162539,IgG Deficiency disorder
C0020455,Hypergammaglobulinemia
C0026470,Monoclonal Gammopathy of Undetermined Significance
C0020639,Hypoproteinemia
C0005956,Bone Marrow Diseases
C2713368,Hematopoetic Myelodysplasia
C0027022,Myeloproliferative disease
C0023501,Leukemoid Reaction
C0032463,Polycythemia Vera
C0001815,Primary Myelofibrosis
C0019045,Hemoglobinopathies
C0019087,Hemorrhagic Disorders
C1368797,Pseudopyogenic Granuloma
C1540912,Hypereosinophilic syndrome
C0024282,Lymphocytosis
C0023530,Leukopenia
C0001824,Agranulocytosis
C0027947,Neutropenia
C0024312,Lymphopenia
C0206744,"T-Lymphocytopenia, Idiopathic CD4-Positive"
C0282548,Leukostasis
C3179244,Pseudo Pelger-Huet Anomaly
C0031306,Phagocyte Bactericidal Dysfunction
C0007965,Chediak-Higashi Syndrome
C3661525,Autosomal Recessive Chronic Granulomatous Disease
C0025637,Methemoglobinemia
C0030312,Pancytopenia
C0032461,Polycythemia
C0019618,Histiocytosis
C0019624,"Histiocytosis, Non-Langerhans-Cell"
C0878675,Erdheim-Chester Disease
C0019625,Sinus histiocytosis
C0019068,Reactive Hemophagocytic Syndrome
C0398367,Histiocytic Necrotizing Lymphadenitis
C0024225,Lymphangitis
C1704423,Milroy Disease
C0544766,Elephantiasis Nostras Verrucosa
C0549463,X-Linked Lymphoproliferative Disorder
C0018188,Granuloma
C0042171,Uveoparotid Fever
C0041364,Tumor Lysis Syndrome
C0221269,Pseudolymphoma
C0002897,"Anemia, Splenic"
C0038000,Splenic Rupture
C0040115,Thymus Hyperplasia
C0000768,Congenital Abnormality
C0000771,"Abnormalities, Drug-Induced"
C1706004,Anhydrotic Ectodermal Dysplasias
C0162359,Christ-Siemens-Touraine syndrome
C0021171,Bloch Sulzberger syndrome
C0000773,"Abnormalities, Radiation-Induced"
C0969687,Autosomal Chromosome Disorders
C0037221,Situs Inversus
C0001197,Acrodermatitis
C0020757,Ichthyoses
C0235752,Port-Wine Stain
C0080024,Piebaldism
C0751422,Hereditary Autoinflammatory Diseases
C0343068,Familial cold urticaria
C0031069,Familial Mediterranean Fever
C0007001,"Carbohydrate Metabolism, Inborn Errors"
C0017919,Glycogen Storage Disease
C0017924,Glycogen Storage Disease Type V
C0026707,Mucopolysaccharidosis IV
C0026709,Mucopolysaccharidosis VI
C0023772,"Lipid Metabolism, Inborn Errors"
C0020623,Hypolipoproteinemias
C0008384,Cholesterol Ester Storage Disease
C0043208,Wolman Disease
C0034139,"Purine-Pyrimidine Metabolism, Inborn Errors"
C0022595,Keratosis Follicularis
C0086196,"Eczema, Infantile"
C0021290,Neonatal disorder
C0004045,Asphyxia Neonatorum
C0005604,Birth Injuries
C1565887,Newborn physiological jaundice
C0021295,"Infant, Premature, Diseases"
C0027609,Neonatal Abstinence Syndrome
C0024137,"Lupus Erythematosus, Cutaneous"
C0024138,Chronic discoid lupus erythematosus
C0026272,Mixed Connective Tissue Disease
C0162855,Mucinoses
C0027145,Myxedema
C0036413,Scleredema Adultorum
C0030331,"Panniculitis, Subacute Nodular Migratory"
C0030328,"Panniculitis, Nodular Nonsuppurative"
C0001144,Acne Vulgaris
C0877055,Acute Generalized Exanthematous Pustulosis
C0006145,Breast Diseases
C0423772,Cutaneous Fistula
C0011603,Dermatitis
C0162351,Contact hypersensitivity
C0162820,"Dermatitis, Allergic Contact"
C0011974,Diaper Rash
C0086457,Industrial Dermatosis
C0011606,Exfoliative dermatitis
C0011608,Dermatitis Herpetiformis
C0263449,Perioral Dermatitis
C0036508,Seborrheic dermatitis
C0014743,Erythema Nodosum
C0036830,Serum Sickness
C0013595,Eczema
C0027822,Neurodermatitis
C0034561,Radiation-Induced Dermatitis
C0041834,Erythema
C0014742,Erythema Multiforme
C0085077,Sweet Syndrome
C0015704,Favre-Racouchot Syndrome
C0016509,Foot Dermatoses
C0016436,Folliculitis
C0020678,Hypotrichosis
C0002170,Alopecia
C0018567,Hand Dermatoses
C0022572,keratoacanthoma
C0023219,Leg Dermatoses
C0023801,Lipomatosis
C0027339,Nail Diseases
C0031762,Photosensitivity Disorders
C0038814,Sunburn
C0033771,Prurigo
C0033774,Pruritus
C0034212,Pyoderma
C0085652,Pyoderma Gangrenosum
C0406486,Ocular Rosacea
C0036271,Scalp Dermatoses
C0162818,"Skin Diseases, Papulosquamous"
C0162848,Lichenoid Eruptions
C0162850,Habermann's Disease
C0030491,Parapsoriasis
C0032024,Pityriasis
C0162819,"Skin Diseases, Vascular"
C0080159,Vesicular Skin Diseases
C0000887,Acantholysis
C0005758,Bulla
C0030805,Bullous pemphigoid
C0030809,Pemphigus Vulgaris
C0037299,Skin Ulcer
C0023223,Leg Ulcer
C0011127,Pressure Ulcer
C0038986,Sweat Gland Diseases
C0085160,Hidradenitis
C0020458,Hyperhidrosis disorder
C0020620,Hypohidrosis
C0026113,Miliaria
C0025517,Metabolic Diseases
C0001118,Acid-Base Imbalance
C0001122,Acidosis
C0022638,Ketosis
C0006663,Calcinosis
C0020598,Hypocalcemia
C0011849,Diabetes Mellitus
C0362046,Prediabetes syndrome
C0282193,Iron Overload
C0019114,Hemosiderosis
C0043325,Xanthomatosis
C0031707,Phosphorus Metabolism Disorders
C0085682,Hypophosphatemia
C0043065,Water-Electrolyte Imbalance
C1136135,Water Stress
C0020461,Hyperkalemia
C0043049,Water Intoxication
C1257753,Child Malnutrition
C1257752,Infant Malnutrition
C0162429,Malnutrition
C0042842,Vitamin A Deficiency
C0016412,Folic Acid Deficiency
C0039841,Thiamine Deficiency
C1527330,Pyridoxine Deficiency
C0032827,Potassium Deficiency
C0033677,Protein-Energy Malnutrition
C0038187,Starvation
C0028756,Morbid obesity
C0020457,Hyperglycemic Hyperosmolar Nonketotic Coma
C0271623,Hypogonadotropic hypogonadism
C0030517,Parathyroid Diseases
C0342342,Idiopathic Hypoparathyroidism
C0040156,Thyrotoxicosis
C0040147,Thyroiditis
C0677607,Hashimoto Disease
C0040149,Subacute thyroiditis
C0018133,Graft-vs-Host Disease
C0020523,Immediate hypersensitivity
C0002792,anaphylaxis
C0079840,Milk Allergy
C0020951,Immune Complex Diseases
C0003907,Arthus Reaction
C1619738,Immune Reconstitution Inflammatory Syndrome
C0021051,Immunologic Deficiency Syndromes
C2936664,Acquired Hypogammaglobulinemia
C0242597,Leukocyte-Adhesion Deficiency Syndrome
C1096155,Macrophage Activation Syndrome
C0524988,Schnitzler Syndrome
C0038441,"Stress Disorders, Traumatic"
C0015480,Factitious Disorders
C0029121,Oppositional Defiant Disorder
C1263846,Attention deficit hyperactivity disorder
C0008074,"Child Development Disorders, Pervasive"
C0004352,Autistic Disorder
C0036344,"Schizophrenia, Catatonic"
C0036347,"Schizophrenia, Disorganized"
C0037650,Somatoform Disorder
C0006736,Calculi
C0008519,Ectopic Tissue
C1261287,Stenosis
C1510475,Diverticulosis
C0012811,Colon diverticulum anatomic structure
C1306710,Facial asymmetry
C0016169,pathologic fistula
C0019295,"Inguinal Hernia, Direct"
C0019284,Diaphragmatic Hernia
C0019285,"Hernia, Diaphragmatic, Traumatic"
C3489393,Hiatal Hernia
C0038002,Splenomegaly
C0032584,polyps
C0003962,Ascites
C0008625,Chromosome Aberrations
C0026499,Monosomy
C1449861,"Micronuclei, Chromosome-Defective"
C0036868,Sex Chromosome Aberrations
C0004044,Asphyxia
C0038644,Sudden infant death syndrome
C0013142,Drowning
C0012634,Disease
C0001314,Acute Disease
C0008679,Chronic disease
C0010340,Critical Illness
C0012655,Disease susceptibility
C0012675,Diseases in Twins
C2745965,Emergencies [Disease/Finding]
C0282631,Facies
C0020732,Iatrogenic Disease
C0920627,Orphan Diseases
C0013990,Pathological accumulation of air in tissues
C0038536,Subcutaneous Emphysema
C0015378,Extravasation of Contrast Media
C2004491,Cicatrix
C0001511,Tissue Adhesions
C0031022,Chronic periaortitis
C0018193,"Granuloma, Foreign-Body"
C0018199,"Granuloma, Plasma Cell"
C0399496,"Granulomatosis, Orofacial"
C0015544,Failure to Thrive
C0019080,Hemorrhage
C0079027,Intraoperative Hemorrhage
C0032788,Postoperative Hemorrhage
C0036982,"Shock, Hemorrhagic"
C0020433,Hyperbilirubinemia
C0022354,"Jaundice, Obstructive"
C0740394,Hyperuricemia
C0546884,Hypovolemia
C0001349,Acute-Phase Reaction
C0016549,Foreign-Body Reaction
C0036749,Serositis
C0242966,Systemic Inflammatory Response Syndrome
C0021890,Intraoperative Complications
C0021308,Infarction
C0023869,Lithiasis
C0024525,Malacoplakia
C0033046,Premenstrual syndrome
C0015668,Fat necrosis
C0017086,Gangrene
C0029396,Heterotopic Ossification
C0030201,"Pain, Postoperative"
C0520904,Postoperative Nausea
C0038940,Surgical Wound Dehiscence
C0035361,Retropneumoperitoneum
C0036974,Shock
C0026766,Multiple Organ Failure
C0036986,"Shock, Traumatic"
C0041582,Ulcer
C0085257,Yin Deficiency
C0001828,Agricultural Workers' Diseases
C0282550,Persian Gulf Syndrome
C0001969,Alcoholic Intoxication
C0236733,Amphetamine-Related Disorders
C0009171,Cocaine Abuse
C0006868,Cannabis Abuse
C0019337,Heroin Dependence
C0026552,Morphine Dependence
C0005658,bite injury
C0021564,Insect Bites
C0037379,Snake Bites
C0040198,Tick Toxicoses
C0006635,Cadmium poisoning
C0699828,Serotonin Syndrome
C0014714,Ergotism
C0679360,Foodborne Disease
C0017107,Gas Poisoning
C0032087,Plant Poisoning
C0086182,"Drug Abuse, Parenteral"
C0848377,trauma to the abdomen
C0002694,"Amputation, Traumatic"
C0034628,Radius Fractures
C0037937,Spinal Injuries
C0080179,Spinal Fractures
C0004760,Barotrauma
C0005700,Blast Injuries
C0011119,Decompression Sickness
C0006435,Chemical Burns
C0006436,"Burns, Electric"
C0006437,"Burns, Inhalation"
C0037367,Smoke Inhalation Injury
C0009938,Contusions
C0023702,Lightning Injuries
C1532195,Gossypiboma
C0016548,Foreign-Body Migration
C0332712,"Fracture, spiral"
C0015802,Femoral Fractures
C0524598,"Fractures, Occult"
C0016662,"Fractures, Open"
C0016663,Pathological fracture
C0035522,Rib Fractures
C1399682,Heat Fatigue
C0018839,Heat Exhaustion
C0018843,Heat Stroke
C0038819,Sunstroke
C0023220,Leg Injuries
C0406185,Turf Toe
C0026771,Multiple Trauma
C0036601,Self Mutilation
C0035127,Cumulative Trauma Disorders
C0039504,Tendon Injuries
C0039980,Thoracic Injuries
C0007172,"Heart Rupture, Traumatic"
C0043253,Nonpenetrating Wounds
C0043254,"Wounds, Penetrating"
C0043252,Gunshot wound
C0043255,"Wounds, Stab"
C0085178,Needlestick Injuries
C0015405,Fungal eye infections
C0276908,Infection by Pneumocystis jirovecii (disorder)
C0341038,Jaw Keratocyst
C1260325,"Dendritic Cell Sarcoma, Follicular"
C0023492,"Leukemia, T-Cell"
C0024223,Lymphangiomyoma
C0751674,Lymphangioleiomyomatosis
C0392788,Nasal Type Extranodal NK/T-Cell Lymphoma
C0206622,Adenomyoma
C0334463,Malignant Fibrous Histiocytoma
C0019522,"Adenoma, Sweat Gland"
C0206673,Syringoma
C0010631,Cystadenocarcinoma
C0027668,"Neoplasms, Vascular Tissue"
C0015807,Femoral Neoplasms
C0038987,Sweat Gland Neoplasms
C0032966,"Pregnancy Complications, Neoplastic"
C0020492,Hyperostosis
C0949690,Spondylarthritis
C0031900,Pierre Robin Syndrome
C0029410,Osteoarthritis of hip
C0023892,Biliary cirrhosis
C0017154,"Gastritis, Atrophic"
C0018926,Hematemesis
C0025162,"Megacolon, Toxic"
C2718067,Alcoholic Steatohepatitis
C0019065,Hemoperitoneum
C0026644,"Mouth, Edentulous"
C0017677,"Glossitis, Benign Migratory"
C3489529,"Tooth Agenesis, Familial"
C0011389,Dental Plaque
C0040456,Impacted tooth
C0034091,Pulmonary Veno-Occlusive Disease (disorder)
C0014591,Epistaxis
C0042594,Vestibular Diseases
C0028064,Niemann-Pick Diseases
C0036489,Sea-Blue Histiocyte Syndrome
C0268486,Hereditary hypertyrosinemia
C0750989,External Carotid Artery Thrombosis
C0042376,Vascular Headaches
C0020258,"Hydrocephalus, Normal Pressure"
C0751215,"Hyperesthesia, Tactile"
C0393886,Guyon Syndrome
C0155223,Dacryoadenitis
C0035309,Retinal Diseases
C0005690,Urinary Bladder Fistula
C0022680,Polycystic Kidney Diseases
C0035091,"Renal Tubular Transport, Inborn Errors"
C0005683,Urinary Bladder Calculi (disorder)
C0020224,Polyhydramnios
C0041207,"Truncus Arteriosus, Persistent"
C1956257,Pulmonary Stenosis
C0002963,"Angina Pectoris, Variant"
C0042512,Ventricular Outflow Obstruction
C0003490,Aortic Arch Syndromes
C2347126,Microscopic Polyarteritis
C0034902,Pure Red-Cell Aplasia
C0042880,Vitamin K Deficiency
C0206369,Splenosis
C1138434,"Genetic Diseases, X-Linked"
C0023646,Lichen Planus
C0020503,"Hyperparathyroidism, Secondary"
C0018023,Nodular Goiter
C0021897,Intrathoracic Goiters
C0009946,Conversion disorder
C1623038,Cirrhosis
C0333458,"Retrograde Degeneration, Transneuronal"
C0018571,Hand Injuries
C0043246,Laceration
C0013363,Dysautonomia
C0338395,"Meningitis, Escherichia coli"
C0003511,"Aortitis, Syphilitic"
C0012517,Dipetalonema Infections
C0023441,"Leukemia, Experimental"
C0205969,Thymic Carcinoma
C0008487,Chordoma
C0001080,Achondroplasia
C0023221,Leg Length Inequality
C3179196,Myofascial Trigger Point Pain
C0431362,Lobar Holoprosencephaly
C0015732,Fecal Incontinence
C0020192,Hyaline Membrane Disease
C3203358,Hypoventilation
C0013446,"Ear Deformities, Acquired"
C1148522,Acoustic Trauma
C0014072,Experimental Autoimmune Encephalomyelitis
C0027814,"Neuritis, Autoimmune, Experimental"
C0238015,Autonomic Dysreflexia
C0338591,"Amnesia, Transient Global"
C0270726,Alexander Disease
C0751202,Cystathionine beta-Synthase Deficiency Disease
C0043121,Wernicke Encephalopathy
C0749098,"Hematoma, Subdural, Acute"
C0085541,"Epilepsy, Frontal Lobe"
C0278193,"Reflex Epilepsy, Reading"
C0877792,"Sleep Disorders, Circadian Rhythm"
C0796147,Acrocallosal Syndrome
C0021645,Insulin Coma
C0026825,Flaccid Muscle Tone
C0271131,Occluded Pupils
C0752257,Pinprick Sensation Diminished
C1956395,Arterial Thoracic Outlet Syndrome
C0751793,Craniocervical Injuries
C0015408,Eye Injuries
C0017612,"Glaucoma, Open-Angle"
C1561643,Chronic Kidney Diseases
C0151526,Premature Birth
C0032964,"Pregnancy Complications, Hematologic"
C1383860,Cardiac Hypertrophy
C2936490,Out-of-Hospital Cardiac Arrest
C0010073,Coronary Artery Vasospasm
C1277187,Left ventricular systolic dysfunction
C0178824,Reactive Hyperemia
C2909036,Fetus-to-fetus placental transfusion syndrome
C0019088,Hemorrhagic Disease of Newborn
C0036415,Sclerema Neonatorum
C0002514,"Amino Acid Metabolism, Inborn Errors"
C0025534,"Metal Metabolism, Inborn Errors"
C0020941,Immersion Foot
C0001125,"Acidosis, Lactic"
C0030783,Pellagra
C0022806,Kwashiorkor
C0342257,Complications of Diabetes Mellitus
C0034013,Precocious Puberty
C0242992,Multiple Chemical Sensitivity
C0577620,Nut Hypersensitivity
C0376297,Cardiac Death
C0036984,"Shock, Surgical"
C0392622,Toxic effect of carbon tetrachloride
C0008775,Ciguatera Poisoning
C0004601,Back Injuries
C0005660,Human Bite
C0027516,Near Drowning
C1556061,Electrical Injuries
C5690870,"Trochlear Fractures, Femur"
C0476171,Comminuted Fracture type
C4704922,Bone Stress Reaction
C0016736,Frostbite
C0008058,Chilblains
C0016124,Finger Injuries
C0085111,Ankle Injuries
C0010392,Crush syndrome
C0009770,Inclusion conjunctivitis
C0040592,Trachoma
C0022576,"Keratoconjunctivitis, Infectious"
C0006015,Bordetella Infections
C1258223,Flavobacteriaceae Infections
C0017575,Necrotizing Ulcerative Gingivitis
C0036969,"Pasteurellosis, Pneumonic"
C0023351,Tuberculoid leprosy
C0041306,"Tuberculosis, Avian"
C0037118,Silicotuberculosis
C0085389,Bacillaceae Infections
C0014736,Erysipelothrix infection
C0039007,Swine Erysipelas
C0036917,"Sexually Transmitted Diseases, Bacterial"
C0037974,Spirochaetales Infections
C0010043,Corneal Ulcer
C0006846,Cutaneous Candidiasis
C0085412,Encephalitozoonosis
C0153064,"Encephalomyelitis, Western Equine"
C0080040,Postpoliomyelitis Syndrome
C0033839,Pseudorabies
C0206602,Circovirus Infections
C0024793,Marek Disease
C0002016,Aleutian Mink Disease
C0949804,Polyomavirus Infections
C0013570,"Ecthyma, Contagious"
C0013591,"Ectromelia, Infectious"
C0027152,"Myxomatosis, Infectious"
C0019194,"Hepatitis, Viral, Animal"
C0205671,"Infections, Arenavirus"
C0206606,Birnaviridae Infections
C0006008,Border Disease
C0006023,Borna Disease
C0206615,Pneumovirus Infections
C0206604,Arterivirus Infections
C0010078,Coronaviridae Infections
C0014342,"Enteritis, Transmissible, of Turkeys"
C0017162,"Gastroenteritis, Transmissible, of Swine"
C0004421,Avian Leukosis
C0079335,Feline Acquired Immunodeficiency Syndrome
C1136321,HIV-Associated Lipodystrophy Syndrome
C0282616,HIV Enteropathy
C0343755,HIV Wasting Syndrome
C0032306,"Pneumonia, Progressive Interstitial, of Sheep"
C0085164,"Leukemia, Feline"
C0079864,Murine Acquired Immunodeficiency Syndrome
C0035921,Congenital Rubella Syndrome
C0752182,Central Nervous System Protozoal Infections
C0029002,"Onchocerciasis, Ocular"
C0040561,Ocular Toxoplasmosis
C0012561,Diphyllobothriasis
C0020413,Hymenolepiasis
C5392955,Taenia serialis Infection
C0018891,"Helminthiasis, Animal"
C0012118,Dictyocaulus Infections
C0012602,Dirofilariasis
C0015655,Fascioloidiasis
