MeSH Term,MeSH Code
"Myopia, Degenerative",D047728
Kluver-Bucy Syndrome,D020232
Multiple Endocrine Neoplasia Type 2a,D018813
"Osteoarthritis, Spine",D055013
Esotropia,D004948
"Head Injuries, Penetrating",D020197
Glycogen Storage Disease Type III,D006010
Retinal Drusen,D015593
"Heart Defects, Congenital",D006330
Bronchiolitis Obliterans,D001989
Gastroschisis,D020139
Bronchitis,D001991
Manganese Poisoning,D020149
Erythema Nodosum,D004893
Hypertriglyceridemia,D015228
Familial Mediterranean Fever,D010505
Muscle Hypotonia,D009123
Developmental Disabilities,D002658
Gingival Diseases,D005882
"Vasculitis, Leukocytoclastic, Cutaneous",D018366
Dysuria,D053159
"Pleurodynia, Epidemic",D011000
Urinary Tract Infections,D014552
"Dermatitis, Contact",D003877
Noonan Syndrome,D009634
Diplopia,D004172
Bruxism,D002012
Aleutian Mink Disease,D000453
Hyperacusis,D012001
Placental Insufficiency,D010927
Pars Planitis,D015868
Myoepithelioma,D009208
Heat Stress Disorders,D018882
Thrombotic Microangiopathies,D057049
Carotid Stenosis,D016893
Mucopolysaccharidosis II,D016532
"Sinus Arrest, Cardiac",D054138
Retinal Vein Occlusion,D012170
Dihydropyrimidine Dehydrogenase Deficiency,D054067
Dentigerous Cyst,D003803
Meningoencephalitis,D008590
"Dermatitis, Occupational",D009783
Thymoma,D013945
Thyroglossal Cyst,D013955
"Heredodegenerative Disorders, Nervous System",D020271
"Carcinoma, Giant Cell",D018286
Stomatitis,D013280
Intestinal Polyps,D007417
Sigmoid Neoplasms,D012811
"Focal Infection, Dental",D005491
Eye Infections,D015817
Myelolipoma,D018209
"Hernia, Umbilical",D006554
Hyper-IgM Immunodeficiency Syndrome,D053306
Lysosomal Storage Diseases,D016464
Deltaretrovirus Infections,D006800
"Angina, Unstable",D000789
Pseudophakia,D019591
Serratia Infections,D016868
Port-Wine Stain,D019339
Hip Injuries,D025981
Orchitis,D009920
"Coma, Post-Head Injury",D020207
Spondylarthritis,D025241
"Heart Failure, Diastolic",D054144
Addison Disease,D000224
Leigh Disease,D007888
"Leukemia, Prolymphocytic",D015463
Lambert-Eaton Myasthenic Syndrome,D015624
Orbital Pseudotumor,D016727
"Epilepsy, Rolandic",D019305
Cholecystolithiasis,D041761
Ebstein Anomaly,D004437
"Syncope, Vasovagal",D019462
"Fluorosis, Dental",D009050
"Leukomalacia, Periventricular",D007969
Intracranial Embolism,D020766
Prolactinoma,D015175
"Carcinoma, Pancreatic Ductal",D021441
Cyclothymic Disorder,D003527
Pelger-Huet Anomaly,D010381
"Anemia, Sideroblastic",D000756
Frostbite,D005627
Ossification of Posterior Longitudinal Ligament,D017887
"Pancreatitis, Alcoholic",D019512
Albinism,D000417
Aortic Rupture,D001019
Osteitis,D010000
Lewy Body Disease,D020961
Dictyocaulus Infections,D004022
Keloid,D007627
Multiple Carboxylase Deficiency,D009100
Pseudotumor Cerebri,D011559
"Puberty, Precocious",D011629
Optic Disk Drusen,D015594
"Pneumonia, Ventilator-Associated",D053717
"Diabetes Mellitus, Lipoatrophic",D003923
"Infarction, Posterior Cerebral Artery",D020762
"Hepatitis, Autoimmune",D019693
Neuroacanthocytosis,D054546
Gliosarcoma,D018316
Chromosomal Instability,D043171
"Enteritis, Transmissible, of Turkeys",D004753
Retinal Dystrophies,D058499
Uterine Neoplasms,D014594
Sparganosis,D013031
Fetal Diseases,D005315
Endomyocardial Fibrosis,D004719
Femoracetabular Impingement,D057925
Presbycusis,D011304
"Renal Insufficiency, Chronic",D051436
"Shock, Septic",D012772
Gram-Positive Bacterial Infections,D016908
"Diabetes, Gestational",D016640
Lassa Fever,D007835
Kleine-Levin Syndrome,D017593
Anophthalmos,D000853
Head and Neck Neoplasms,D006258
"Trauma, Nervous System",D020196
Coloboma,D003103
Hyperprolactinemia,D006966
Thrombasthenia,D013915
Metrorrhagia,D008796
Medulloblastoma,D008527
"Neoplasms, Neuroepithelial",D018302
Lymphoma,D008223
Hidrocystoma,D018251
Infarction,D007238
Louping Ill,D008146
Dental Pulp Calcification,D003784
Pityriasis Rosea,D017515
Cholelithiasis,D002769
Spasm,D013035
Weil Disease,D014895
"Malaria, Vivax",D016780
Osteophyte,D054850
"Obesity, Abdominal",D056128
"Liver Failure, Acute",D017114
Lymphangitis,D008205
Amyloid Neuropathies,D017772
Respiratory Aspiration,D053120
Freemartinism,D005611
Optic Neuritis,D009902
Peripheral Nervous System Diseases,D010523
Pituitary Neoplasms,D010911
Rett Syndrome,D015518
"Nails, Malformed",D009264
Fatty Liver,D005234
Parapsoriasis,D010267
Klippel-Trenaunay-Weber Syndrome,D007715
Peutz-Jeghers Syndrome,D010580
"Arthropathy, Neurogenic",D001177
Paragonimiasis,D010237
Hypocapnia,D016857
Gait Apraxia,D020235
Tyrosinemias,D020176
Beriberi,D001602
"Keratoderma, Palmoplantar",D007645
Pulmonary Embolism,D011655
Cryptorchidism,D003456
Sunburn,D013471
"Upper Extremity Deformities, Congenital",D038062
Wallerian Degeneration,D014855
"Obesity, Morbid",D009767
Pelvic Pain,D017699
AIDS-Related Complex,D000386
Astrocytoma,D001254
"Pyelonephritis, Xanthogranulomatous",D011705
Gingival Recession,D005889
Ectopia Lentis,D004479
Orbital Neoplasms,D009918
"Fibroma, Ossifying",D018214
von Hippel-Lindau Disease,D006623
Lipodystrophy,D008060
"Carcinoma, Squamous Cell",D002294
Forearm Injuries,D005543
Pouchitis,D019449
Nocturnal Enuresis,D053206
Digestive System Abnormalities,D004065
Clonorchiasis,D003003
"Lung Diseases, Interstitial",D017563
Holocarboxylase Synthetase Deficiency,D028922
Melanoma,D008545
"Cystadenocarcinoma, Serous",D018284
Brain Death,D001926
Takayasu Arteritis,D013625
"Amnesia, Transient Global",D020236
Uterine Hemorrhage,D014592
Oxyuriasis,D010123
Duodenal Neoplasms,D004379
Adrenocortical Hyperfunction,D000308
Leukemoid Reaction,D007955
Gitelman Syndrome,D053579
"Carcinoma, Endometrioid",D018269
Coccidiosis,D003048
Ocular Motility Disorders,D015835
Esophageal and Gastric Varices,D004932
Gas Poisoning,D005739
Thiamine Deficiency,D013832
Ankylosis,D000844
Blind Loop Syndrome,D001765
"Hypertension, Portal",D006975
Infant Nutrition Disorders,D007228
Neoplasm Metastasis,D009362
Onychomycosis,D014009
Necrolytic Migratory Erythema,D058568
"Ear Deformities, Acquired",D004426
Lymphangiectasis,D008200
Uterine Cervical Dysplasia,D002578
Retinopathy of Prematurity,D012178
Neck Injuries,D019838
Gardner Syndrome,D005736
Osteitis Fibrosa Cystica,D010002
Hantavirus Pulmonary Syndrome,D018804
Anthrax,D000881
Distemper,D004216
Smith-Lemli-Opitz Syndrome,D019082
Chorioretinitis,D002825
Breast Diseases,D001941
Binge-Eating Disorder,D056912
"Plaque, Atherosclerotic",D058226
Lymphatic Abnormalities,D044148
Facial Injuries,D005151
Yellow Fever,D015004
Neurasthenia,D009440
"Depressive Disorder, Major",D003865
Obstetric Labor Complications,D007744
Laryngeal Neoplasms,D007822
"Neoplasms, Hormone-Dependent",D009376
Dry Eye Syndromes,D015352
"Pulmonary Adenomatosis, Ovine",D011648
"Embolism, Fat",D004620
Intestinal Atresia,D007409
"Pasteurellosis, Pneumonic",D012766
"Nevus, Intradermal",D018330
Dystonia Musculorum Deformans,D004422
"Schizophrenia, Disorganized",D012562
Hyperlysinemias,D020167
Urinary Bladder Diseases,D001745
Tendinopathy,D052256
"Porphyria, Hepatoerythropoietic",D017121
Malnutrition,D044342
Osteopoikilosis,D010023
Erythema Chronicum Migrans,D015787
Hypernatremia,D006955
Seminoma,D018239
Fetal Distress,D005316
Neuroaspergillosis,D020953
Nocturnal Paroxysmal Dystonia,D020183
Mandibular Injuries,D008338
Somatoform Disorders,D013001
"Leprosy, Lepromatous",D015440
Ventricular Dysfunction,D018754
Tinea,D014005
"Heart Failure, Systolic",D054143
"Dysentery, Bacillary",D004405
Multiple System Atrophy,D019578
Thoracic Injuries,D013898
Vertebrobasilar Insufficiency,D014715
Bile Duct Diseases,D001649
Alagille Syndrome,D016738
"Neoplasms, Cystic, Mucinous, and Serous",D018297
Enophthalmos,D015841
Eye Neoplasms,D005134
"Hydrocephalus, Normal Pressure",D006850
Heart Murmurs,D006337
Pinta,D010874
Leg Length Inequality,D007870
"Heart Rupture, Post-Infarction",D006342
Somnambulism,D013009
"Mixed Tumor, Mullerian",D018200
"Fibrous Dysplasia, Monostotic",D005358
Ventricular Remodeling,D020257
"Angina Pectoris, Variant",D000788
Maxillary Diseases,D008439
Mitral Valve Stenosis,D008946
Lacrimal Duct Obstruction,D007767
Digestive System Fistula,D016154
Micrognathism,D008844
Myocarditis,D009205
"Tuberculosis, Pleural",D014396
Uterine Inertia,D014593
Brain Concussion,D001924
Protein-Energy Malnutrition,D011502
Capillary Leak Syndrome,D019559
Usher Syndromes,D052245
"Fractures, Cartilage",D050724
Craniofacial Abnormalities,D019465
Peritoneal Neoplasms,D010534
"Salmonella Infections, Animal",D012481
Endarteritis,D004692
Mucopolysaccharidosis VI,D009087
"Sprue, Tropical",D013182
Gingival Hemorrhage,D005884
Leprosy,D007918
X-Linked Combined Immunodeficiency Diseases,D053632
Tics,D020323
Facial Nerve Diseases,D005155
Dysgerminoma,D004407
Hypogonadism,D007006
Trichostrongylosis,D014253
Typhlitis,D053706
Food Hypersensitivity,D005512
Bloom Syndrome,D001816
"Encephalitis, Japanese",D004672
Corneal Edema,D015715
Granuloma,D006099
Salivary Gland Diseases,D012466
"Anemia, Aplastic",D000741
Malacoplakia,D008287
22q11 Deletion Syndrome,D058165
Neurobehavioral Manifestations,D019954
Dysentery,D004403
Bronchopulmonary Sequestration,D001998
Gait Ataxia,D020234
Ventilator-Induced Lung Injury,D055397
Overweight,D050177
Alcohol Withdrawal Delirium,D000430
Paraneoplastic Polyneuropathy,D020364
Hypotrichosis,D007039
Tympanic Membrane Perforation,D018058
Hip Contracture,D006616
"Chondromatosis, Synovial",D015838
Uterine Cervicitis,D002575
Reye Syndrome,D012202
Chest Pain,D002637
IgG Deficiency,D017099
Meningism,D008580
Milk Hypersensitivity,D016269
Heart Failure,D006333
Pulmonary Subvalvular Stenosis,D011662
"Depression, Postpartum",D019052
Osteoporosis,D010024
"Leukemia, Mast-Cell",D007946
Proctocolitis,D011350
Sneezing,D012912
"Synovitis, Pigmented Villonodular",D013586
Arthus Reaction,D001183
Vipoma,D003969
Facial Asymmetry,D005146
Popliteal Cyst,D011151
"Vision, Low",D015354
"Wounds, Stab",D014951
Tibial Fractures,D013978
De Lange Syndrome,D003635
Myoclonus,D009207
Arterivirus Infections,D018174
Nevus of Ota,D009507
Biliary Tract Neoplasms,D001661
Vulvitis,D014847
Retrocochlear Diseases,D012181
Autonomic Dysreflexia,D020211
"Pain, Referred",D053591
Gastroesophageal Reflux,D005764
"Elephantiasis, Filarial",D004605
"Myelinolysis, Central Pontine",D017590
Insulinoma,D007340
Heart Septal Defects,D006343
Dyskinesias,D020820
Pelizaeus-Merzbacher Disease,D020371
Coronary-Subclavian Steal Syndrome,D058686
Ophthalmia Neonatorum,D009878
Neurofibromatoses,D017253
Graft vs Host Disease,D006086
"Skin Diseases, Vesiculobullous",D012872
Lymphopenia,D008231
"Aortic Aneurysm, Thoracic",D017545
Scurvy,D012614
"Neovascularization, Pathologic",D009389
"Shock, Cardiogenic",D012770
"Amino Acid Metabolism, Inborn Errors",D000592
"Lead Poisoning, Nervous System",D020263
"Mammary Neoplasms, Experimental",D008325
Femur Head Necrosis,D005271
Serositis,D012700
Leg Dermatoses,D007868
"Neoplasms, Radiation-Induced",D009381
"Leukemia, Myelomonocytic, Juvenile",D054429
"Alexia, Pure",D020237
Mycobacterium avium-intracellulare Infection,D015270
Epilepsia Partialis Continua,D017036
Diabetic Neuropathies,D003929
Staphylococcal Skin Infections,D013207
Prostatitis,D011472
Miosis,D015877
"Intestinal Diseases, Parasitic",D007411
Leukemic Infiltration,D017254
Prediabetic State,D011236
Sclerema Neonatorum,D012593
Epidural Neoplasms,D015174
Branchioma,D001935
Rosacea,D012393
Hydroa Vacciniforme,D006837
Shoulder Dislocation,D012783
Parakeratosis,D010241
Trichuriasis,D014257
Glycogen Storage Disease Type IV,D006011
"Uveitis, Suppurative",D015829
Leukocyte Disorders,D007960
Anisocoria,D015875
Vitamin K Deficiency Bleeding,D006475
"Carcinoma, Large Cell",D018287
"Endocarditis, Subacute Bacterial",D004698
Retroviridae Infections,D012192
Gigantism,D005877
Mycosis Fungoides,D009182
Uniparental Disomy,D024182
"Dyskinesia, Drug-Induced",D004409
Sudden Infant Death,D013398
Mandibular Fractures,D008337
Acidosis,D000138
Lentivirus Infections,D016180
Euthyroid Sick Syndromes,D005067
Sialorrhea,D012798
Andersen Syndrome,D050030
"Neoplasm Recurrence, Local",D009364
HIV Enteropathy,D019053
Systemic Inflammatory Response Syndrome,D018746
Bronchial Diseases,D001982
"Sarcoma, Alveolar Soft Part",D018234
Sexual and Gender Disorders,D019968
Mite Infestations,D008924
"Arthritis, Gouty",D015210
Fungemia,D016469
Hemangiopericytoma,D006393
"Vaginosis, Bacterial",D016585
Croup,D003440
"Gastroenteritis, Transmissible, of Swine",D005761
"Hypertrophy, Right Ventricular",D017380
"ACTH Syndrome, Ectopic",D000182
Hereditary Sensory and Autonomic Neuropathies,D009477
Lymphocytic Choriomeningitis,D008216
"Fibromatosis, Abdominal",D018221
Carcinoma,D002277
"Anemia, Hemolytic, Congenital Nonspherocytic",D000746
Ascaridiasis,D001198
Acatalasia,D020642
Periodontal Diseases,D010510
Dyspnea,D004417
Chylous Ascites,D002915
Epidermolysis Bullosa,D004820
Cranial Nerve Diseases,D003389
"Urinary Bladder, Overactive",D053201
Cholecystitis,D002764
Microstomia,D008865
"Erythroblastosis, Fetal",D004899
Thrombocytopenia,D013921
Romano-Ward Syndrome,D029597
Dental Calculus,D003728
"Vasospasm, Intracranial",D020301
Funnel Chest,D005660
Hemiplegia,D006429
Plummer-Vinson Syndrome,D011004
Hypercalcemia,D006934
"Respiratory Distress Syndrome, Newborn",D012127
Alcoholic Neuropathy,D020269
Pityriasis Lichenoides,D017514
Bile Duct Neoplasms,D001650
Rectocele,D020047
Lymphangiosarcoma,D008204
"Sialometaplasia, Necrotizing",D012797
Acute Chest Syndrome,D056586
Chagas Cardiomyopathy,D002598
Splenosis,D017890
Extravasation of Diagnostic and Therapeutic Materials,D005119
CREST Syndrome,D017675
"Myasthenia Gravis, Autoimmune, Experimental",D020720
alpha-Mannosidosis,D008363
"Carcinoma, Lewis Lung",D018827
"Communicable Diseases, Emerging",D021821
Dipetalonema Infections,D004154
"Dilatation, Pathologic",D004108
Histoplasmosis,D006660
Hypopigmentation,D017496
Endoleak,D057867
Tooth Wear,D057085
Retinal Perforations,D012167
Decapitation,D049248
Dientamoebiasis,D004030
Dissociative Disorders,D004213
"Nephritis, Hereditary",D009394
"Paralyses, Familial Periodic",D010245
Monosomy,D009006
Small Cell Lung Carcinoma,D055752
Pruritus,D011537
"Renal Tubular Transport, Inborn Errors",D015499
Uveal Diseases,D014603
Chromosome Fragility,D002873
Down Syndrome,D004314
Esophageal Fistula,D004937
Trigger Finger Disorder,D052582
Borderline Personality Disorder,D001883
Obesity,D009765
Cystic Fibrosis,D003550
Pre-Excitation Syndromes,D011226
"Purpura, Hyperglobulinemic",D011694
"Meningitis, Pneumococcal",D008586
Frontotemporal Dementia,D057180
"Colitis, Ulcerative",D003093
Hemangioblastoma,D018325
Muscle Rigidity,D009127
Amebiasis,D000562
Smallpox,D012899
Borrelia Infections,D001899
Salivary Gland Neoplasms,D012468
"Leukemia, Biphenotypic, Acute",D015456
Neuralgia,D009437
Hypohidrosis,D007007
Scimitar Syndrome,D012587
"Infant, Premature, Diseases",D007235
Apudoma,D001079
Glucose Metabolism Disorders,D044882
Panic Disorder,D016584
Periodontal Abscess,D010508
Myoglobinuria,D009212
Uveomeningoencephalitic Syndrome,D014607
Ocular Hypotension,D015814
Myiasis,D009198
Melkersson-Rosenthal Syndrome,D008556
Periapical Periodontitis,D010485
"Adenoma, Basophil",D000237
Osteochondrodysplasias,D010009
Muscular Diseases,D009135
Cat-Scratch Disease,D002372
Coronavirus Infections,D018352
Pulmonary Edema,D011654
"Tachycardia, Supraventricular",D013617
"Bulbar Palsy, Progressive",D010244
Charcot-Marie-Tooth Disease,D002607
Fistula,D005402
"Bone Diseases, Infectious",D001850
Periapical Abscess,D010482
Mediastinal Neoplasms,D008479
Leukocytosis,D007964
Cerebellar Diseases,D002526
Phagocyte Bactericidal Dysfunction,D010585
"Acidosis, Respiratory",D000142
Chondromalacia Patellae,D046789
Arteriovenous Fistula,D001164
Tooth Loss,D016388
"Hyperglycinemia, Nonketotic",D020158
Tuberous Sclerosis,D014402
"Carcinoma, Ehrlich Tumor",D002286
Kartagener Syndrome,D007619
Arteritis,D001167
Diverticulitis,D004238
Colonic Pseudo-Obstruction,D003112
Respiratory Tract Fistula,D016156
Trichomonas Vaginitis,D014247
Hereditary Autoinflammatory Diseases,D056660
Embolism,D004617
"Hepatitis, Alcoholic",D006519
"Cardiomyopathy, Dilated",D002311
Acquired Immunodeficiency Syndrome,D000163
Retinal Neoplasms,D019572
Asthenopia,D001248
Respiratory Syncytial Virus Infections,D018357
Tooth Diseases,D014076
Serum Sickness,D012713
Heavy Chain Disease,D006362
Necrobiosis Lipoidica,D009335
Ileal Diseases,D007077
Tinea Versicolor,D014010
Nuchal Cord,D053589
"Leukemia, T-Cell",D015458
Peroneal Neuropathies,D020427
"Meningitis, Listeria",D008584
Blindness,D001766
"Myxomatosis, Infectious",D009234
Foot-and-Mouth Disease,D005536
Vaginal Fistula,D014624
Adrenoleukodystrophy,D000326
Eyelid Neoplasms,D005142
Stroke,D020521
Glomerulonephritis,D005921
Chromosome Breakage,D019457
Erysipelothrix Infections,D004889
Shoulder Fractures,D012784
Immunoproliferative Disorders,D007160
Cholesteatoma,D002781
Adrenal Cortex Neoplasms,D000306
Hyperoxia,D018496
"Pancreatitis, Acute Necrotizing",D019283
Vertigo,D014717
Gastrointestinal Diseases,D005767
Bacteroides Infections,D001442
"Sexual Dysfunctions, Psychological",D020018
Carcinoid Tumor,D002276
Gallbladder Neoplasms,D005706
Asthma,D001249
Monkeypox,D045908
Ecchymosis,D004438
"Purpura, Thrombocytopenic",D011696
Bone Diseases,D001847
Salmonella Infections,D012480
Schistosomiasis haematobia,D012553
Sprains and Strains,D013180
Cholera,D002771
Urticaria,D014581
Rhabdoviridae Infections,D018353
Vulvodynia,D056650
"Colitis, Microscopic",D046728
Primary Graft Dysfunction,D055031
"Toxoplasmosis, Cerebral",D016781
Piebaldism,D016116
"Wounds, Nonpenetrating",D014949
Mucocutaneous Lymph Node Syndrome,D009080
Thrombophilia,D019851
Migraine without Aura,D020326
Myocardial Bridging,D054084
Scleritis,D015423
Infectious Bovine Rhinotracheitis,D007241
Esophagitis,D004941
"Adenoma, Chromophobe",D000238
Arteriosclerosis,D001161
Thyroid Diseases,D013959
Reperfusion Injury,D015427
Gingival Overgrowth,D019214
Hepatic Encephalopathy,D006501
Dementia,D003704
"Pregnancy Complications, Parasitic",D015597
"Leukemia-Lymphoma, Adult T-Cell",D015459
"Hernia, Obturator",D006553
Erysipelas,D004886
Ergotism,D004881
Hallucinations,D006212
Acute Lung Injury,D055371
Dental Plaque,D003773
"Akathisia, Drug-Induced",D017109
Osteochondritis,D010007
Blackwater Fever,D001742
Compartment Syndromes,D003161
Pre-Eclampsia,D011225
Panophthalmitis,D010202
Putaminal Hemorrhage,D020146
Spirochaetales Infections,D013145
Female Urogenital Diseases,D052776
Obsessive-Compulsive Disorder,D009771
Kernicterus,D007647
Wilms Tumor,D009396
Postmortem Changes,D011180
"Pneumonia, Aspiration",D011015
Rectal Prolapse,D012005
Strabismus,D013285
Bronchomalacia,D055091
Diabetic Cardiomyopathies,D058065
Teratoma,D013724
Submandibular Gland Diseases,D013364
Peroxisomal Disorders,D018901
Transposition of Great Vessels,D014188
Lymphoproliferative Disorders,D008232
"Leishmaniasis, Cutaneous",D016773
Smith-Magenis Syndrome,D058496
Wet Macular Degeneration,D057135
Cachexia,D002100
"Tongue, Hairy",D014064
Goiter,D006042
"Hemangioma, Capillary",D018324
Postcholecystectomy Syndrome,D017562
Spirurida Infections,D017205
Hemothorax,D006491
Chromosome Duplication,D058674
Alkalosis,D000471
Ganglioglioma,D018303
Bovine Respiratory Disease Complex,D048090
Testicular Diseases,D013733
"Myoclonic Epilepsies, Progressive",D020191
Odontoma,D009810
Tetany,D013746
"Hernia, Inguinal",D006552
Pancytopenia,D010198
"Bone Diseases, Endocrine",D001849
Enterocolitis,D004760
"Venereal Tumors, Veterinary",D014685
Intussusception,D007443
"Leukemia, Myelomonocytic, Acute",D015479
Agraphia,D000381
Leukostasis,D018921
Chediak-Higashi Syndrome,D002609
Alcohol-Induced Disorders,D020751
"Adenocarcinoma, Clear Cell",D018262
"Malaria, Avian",D008289
"Hematoma, Subdural",D006408
Soft Tissue Injuries,D017695
Bovine Virus Diarrhea-Mucosal Disease,D001912
Respiration Disorders,D012120
Glomus Tympanicum Tumor,D043604
Flail Chest,D005409
"Glomerulonephritis, Membranoproliferative",D015432
Angiolipoma,D018206
Orthomyxoviridae Infections,D009976
Heart Neoplasms,D006338
Pregnancy in Diabetics,D011254
Emergencies,D004630
Schizotypal Personality Disorder,D012569
Intracranial Hypertension,D019586
"Abortion, Septic",D000031
Zenker Diverticulum,D016672
Hypertensive Encephalopathy,D020343
Otosclerosis,D010040
Mesenteric Cyst,D008639
Striatonigral Degeneration,D020955
Teratocarcinoma,D018243
"Dementia, Multi-Infarct",D015161
"Rhinitis, Vasomotor",D012223
Maple Syrup Urine Disease,D008375
"Onchocerciasis, Ocular",D015827
Craniofacial Dysostosis,D003394
Spinal Cord Compression,D013117
Rib Fractures,D012253
Kuru,D007729
Gas Gangrene,D005738
Activated Protein C Resistance,D020016
Strongylida Infections,D017206
Leukopenia,D007970
Primary Myelofibrosis,D055728
"Ischemic Attack, Transient",D002546
"Aphakia, Postcataract",D001036
ACTH-Secreting Pituitary Adenoma,D049913
Seroma,D049291
Hematocele,D006398
Amnesia,D000647
Hammer Toe Syndrome,D037801
Encephalocele,D004677
Alcoholism,D000437
Ankle Injuries,D016512
Coronary Vessel Anomalies,D003330
Hemorrhagic Disorders,D006474
Urinary Incontinence,D014549
"Influenza, Human",D007251
Ameloblastoma,D000564
Hypophosphatasia,D007014
Chondroblastoma,D002804
Vitamin D Deficiency,D014808
Anorexia,D000855
Shared Paranoid Disorder,D012753
"Auditory Diseases, Central",D001304
Vaginal Neoplasms,D014625
Hypodermyiasis,D007000
"Porphyria, Variegate",D046350
"Carcinoma, Intraductal, Noninfiltrating",D002285
Peritonitis,D010538
Glycogen Storage Disease Type VII,D006014
Peptic Ulcer Hemorrhage,D010438
Prostatism,D053448
"Arthritis, Infectious",D001170
"Ectromelia, Infectious",D004482
"Optic Atrophies, Hereditary",D015418
"Hepatitis D, Chronic",D019701
Lead Poisoning,D007855
Equine Infectious Anemia,D004859
Alexander Disease,D038261
Cerebrospinal Fluid Otorrhea,D002558
Lipomatosis,D008068
Post-Traumatic Headache,D051298
Newcastle Disease,D009521
Respiratory System Abnormalities,D015619
Pericardial Effusion,D010490
Sea-Blue Histiocyte Syndrome,D012618
Adenofibroma,D000232
Pelvic Infection,D034161
Rhabdomyoma,D012207
Cephalopelvic Disproportion,D052178
Spinal Osteochondrosis,D055035
Viremia,D014766
Fanconi Syndrome,D005198
Galactosemias,D005693
Pseudohypoparathyroidism,D011547
Brain Stem Neoplasms,D020295
Cognition Disorders,D003072
Ileus,D045823
Joint Instability,D007593
Agnosia,D000377
"Pneumonia, Pneumococcal",D011018
Osteoarthritis,D010003
Esophageal Achalasia,D004931
Calcinosis,D002114
Coprophagia,D003303
"Empyema, Pleural",D016724
"Candidiasis, Vulvovaginal",D002181
"Jaw, Edentulous, Partially",D007576
Corynebacterium Infections,D003354
Hypokalemia,D007008
Skull Fractures,D012887
Lentigo,D007911
"Cholecystitis, Acute",D041881
Poland Syndrome,D011045
"Leukemia, Large Granular Lymphocytic",D054066
"Carcinoma, Islet Cell",D018273
Refractive Errors,D012030
Leukoplakia,D007971
"Mastocytosis, Systemic",D034721
Cerebellar Neoplasms,D002528
Attention Deficit Disorder with Hyperactivity,D001289
"Urinary Incontinence, Urge",D053202
"Carcinoma, Transitional Cell",D002295
"Abortion, Habitual",D000026
Microphthalmos,D008850
Epispadias,D004842
Intestinal Pseudo-Obstruction,D007418
Heart Injuries,D006335
Dyslipidemias,D050171
Mansonelliasis,D008368
Adrenogenital Syndrome,D047808
Akinetic Mutism,D000405
Brain Diseases,D001927
Heartburn,D006356
Atrial Fibrillation,D001281
Rinderpest,D012301
Papillon-Lefevre Disease,D010214
Body Weight,D001835
Wrist Injuries,D014954
"Mesothelioma, Cystic",D018261
"Malaria, Cerebral",D016779
Myotonic Disorders,D020967
Keratoconus,D007640
Antiphospholipid Syndrome,D016736
Kidney Diseases,D007674
Mesial Movement of Teeth,D008644
Oculomotor Nerve Diseases,D015840
Parkinsonian Disorders,D020734
Thrombophlebitis,D013924
"Muscular Dystrophy, Duchenne",D020388
"Carcinoma, Adenoid Cystic",D003528
Hydrops Fetalis,D015160
Potassium Deficiency,D011191
Aortic Valve Prolapse,D001023
Desmoplastic Small Round Cell Tumor,D058405
Coronaviridae Infections,D003333
Graves Ophthalmopathy,D049970
Psoriasis,D011565
Gray Platelet Syndrome,D055652
Fatigue,D005221
Cerebral Ventricle Neoplasms,D002551
"Abnormalities, Severe Teratoid",D009008
Sweat Gland Neoplasms,D013544
Balantidiasis,D001447
Klebsiella Infections,D007710
Nevus,D009506
Osteomalacia,D010018
Neurocytoma,D018306
Spinal Cord Neoplasms,D013120
Lymphangioleiomyomatosis,D018192
Drug Eruptions,D003875
"Leukemia, Radiation-Induced",D007953
"Eye Infections, Parasitic",D015822
Postgastrectomy Syndromes,D011178
Hearing Disorders,D006311
"Stress Disorders, Traumatic",D040921
Shaken Baby Syndrome,D038642
"Genital Neoplasms, Male",D005834
"Genital Diseases, Male",D005832
Cheyne-Stokes Respiration,D002639
"Adenoma, Sweat Gland",D006607
Osteogenesis Imperfecta,D010013
"Syphilis, Cardiovascular",D013589
"Tuberculosis, Miliary",D014391
Aphasia,D001037
Larva Migrans,D007815
Angioedema,D000799
Basal Ganglia Diseases,D001480
HIV Infections,D015658
Atrial Flutter,D001282
"Brain Damage, Chronic",D001925
Tricuspid Valve Stenosis,D014264
Hypertension,D006973
Situs Inversus,D012857
Dyskeratosis Congenita,D019871
"Spondylitis, Ankylosing",D013167
Choledochal Cyst,D015529
"Leukemia, B-Cell",D015448
Vitelliform Macular Dystrophy,D057826
Shoulder Impingement Syndrome,D019534
Glaucoma,D005901
"Jaundice, Obstructive",D041781
Osteoradionecrosis,D010025
Syndrome,D013577
Prosthesis Failure,D011475
Venous Thrombosis,D020246
Nasal Obstruction,D015508
Ketosis,D007662
"Hepatitis, Viral, Animal",D006524
Telangiectasis,D013684
Cholangiocarcinoma,D018281
Lens Subluxation,D007906
Dermatitis,D003872
"Granulomatous Disease, Chronic",D006105
Cranial Nerve Neoplasms,D003390
Mycoplasma Infections,D009175
Duodenal Diseases,D004378
Femoral Neuropathy,D020428
Choroideremia,D015794
Capsule Opacification,D058442
Bartonella Infections,D001474
Krukenberg Tumor,D007725
"Hematoma, Subdural, Spinal",D046649
"Diarrhea, Infantile",D003968
Snake Bites,D012909
Frontal Sinusitis,D015522
Astigmatism,D001251
Arterio-Arterial Fistula,D001159
"Empyema, Subdural",D013354
Pancoast Syndrome,D010178
"Neoplasms, Connective and Soft Tissue",D018204
Hypochondriasis,D006998
